tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,EquiScore,Flexx,GNINA,GenScore,Glide SP,Gold,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,Surflex,TANKBind,Vina
HIVPR,1.523334572,5.274888559,1.49,50.93,18.28,26.10645121,13.777,2.08,28.36,31.51584243,6.341602441,17.91,4.977711738,53.89117429,39.34615147,3.267978399,5.644689961,9.806835067,1.633989199,64.70670408,12.55200794,47.40187683,50.53463057,5.04,25.50598303,4.1
HIVRT,2.92122744,2.727272727,0.59,14.2,2.37,25.33568385,6.005,2.08,11.28,10.15379233,20.40616516,12.72,4.909090909,56.85798817,54.20657939,1.484996891,1.448257576,2.181818182,2.172386364,55.38498329,1.267225379,12.12540249,14.73004875,4.73,1.097236712,4.15
HMDH,2.742588933,28.95622896,0,45.29,47.06,52.46470588,2.363,1.76,36.47,50.86601569,35.62600321,24.12,7.744107744,52.46470588,52.46470588,10.01866491,2.671643976,26.26262626,1.001866491,30.89588235,0.667910994,52.8452381,29.14705882,17.06,17.54689755,4.12
HS90A,0.852883762,16.80672269,2.27,38.64,15.91,43.75977273,12.729,2.35,11.36,11.48552444,1.148552444,13.64,9.243697479,56.10227273,56.10227273,0.831596639,1.663193277,10.92436975,0,53.85818182,0,45.55924695,46.00386364,1.14,14.54496714,0
HXK4,0.810592005,2.380952381,1.09,19.57,2.17,0,3.212,4.35,20.65,0,19.45054945,14.13,27.77777778,32.55434783,31.4692029,0,0,0.793650794,0.786686103,9.766304348,0,0.36019536,10.85144928,0,0,3.26
IGF1R,14.81861862,11.16071429,3.38,51.35,46.62,48.38236131,23.305,27.7,30.41,27.71951858,20.95866039,28.38,17.85714286,53.75817923,36.95874822,2.660138249,2.631838906,11.16071429,7.537058372,48.38236131,3.990207373,26.141985,24.19118065,10.81,24.64431289,16.22
INHA,13.45256917,1.408450704,0,20.93,0,11.35174419,24.745,9.3,2.33,0,2.256782946,25.58,0,43.13662791,18.1627907,4.310661765,2.87377451,7.042253521,0,2.270348837,2.87377451,2.256782946,6.811046512,4.65,11.64482547,6.98
ITAL,4.00896861,0.440528634,0,44.2,10.87,18.70631351,1.325,1.45,6.57,10.75478525,12.46577381,6.52,2.643171806,36.69315342,31.65683825,0,0,3.964757709,0.872955593,23.02315509,4.80125576,9.53265056,22.30368149,2.9,5.774034724,0
JAK2,16.51490066,33.77483444,6.54,57.01,47.66,31.32989259,37.548,8.41,28.04,54.1095791,37.53265602,28.97,20.52980132,56.20951318,46.07337146,4.622416215,1.320690347,35.7615894,14.52759382,53.44511089,8.584487257,59.11393324,47.91630632,14.95,21.45287825,15.89
KIF11,18.74089605,2.538071066,0,27.59,16.38,49.75714286,5.139,2.59,37.93,46.98088456,25.62593703,33.62,7.106598985,18.87339901,11.15246305,10.1319797,0,16.75126904,7.598984772,6.863054187,4.559390863,50.96714143,12.8682266,6.03,31.85065843,24.14
KIT,3.624099593,9.2,4.22,35.54,30.12,5.376083774,8.85,7.88,13.86,6.416783217,6.015734266,14.46,5.6,63.91566265,34.04853057,3.586415094,0,7.2,1.593962264,59.13692152,3.586415094,5.614685315,51.96880982,3.01,20.91885714,4.82
KITH,9.422003284,2.272727273,0,0,0,10.2,22.598,0,38.6,32.68078242,50.77192982,15.79,1.515151515,51,51,8.286111111,7.532828283,12.12121212,0.753282828,0,3.766414141,50.77192982,0,42.11,0,33.33
KPCB,10.83797621,18.72340426,0,58.52,31.11,58.81315023,31.194,27.48,23.7,50.27403758,53.41616493,28.89,11.4893617,63.95930087,60.28347898,0.422519723,2.506950355,11.06382979,13.52063113,44.10986267,1.690078891,47.13191024,36.02305452,27.41,2.562185687,28.15
LCK,15.19265212,23.00884956,3.81,50.24,42.14,4.747567844,30.038,18.12,15.24,36.97072981,33.53716311,15.48,20.9439528,65.99119304,20.17716334,5.602718078,0.589759798,24.33628319,11.9426359,32.52083973,10.32079646,38.16848564,11.39416283,13.57,9.926398882,10
LKHA4,3.871708683,5.809128631,0,52.63,33.92,31.30873576,22.236,7.6,15.29,11.36117647,21.74294118,13.45,2.489626556,15.65436788,17.39374209,3.314994109,2.455925514,13.2780083,0,0,3.314994109,36.04235294,0,18.71,0.839004149,14.71
MAPK2,11.25632511,7.352941176,14.85,43.56,25.74,42.2025774,21.723,6.93,16.83,52.2844086,38.71693548,21.78,13.7254902,57.90586201,50.05421971,1.457950368,2.915900735,4.411764706,6.803768382,49.07276442,2.429917279,54.60080645,45.14694327,2.97,10.41861995,13.86
MCR,11.89459459,25.67567568,1.06,27.66,22.34,24.4558734,14.876,0,10.64,41.93684211,31.45263158,2.13,18.91891892,37.21545953,28.70906878,7.813813814,2.511583012,16.21621622,9.116116116,17.0127815,9.116116116,31.45263158,12.75958612,2.13,13.52390852,7.45
MET,24.1297455,32.6446281,1.2,68.07,58.43,58.57412258,40.219,18.07,37.95,52.98258258,40.33901174,39.76,30.99173554,55.58564694,43.03404924,4.109558985,0.814702044,36.36363636,4.520514883,41.83865898,6.575294376,55.79226499,23.90780513,9.04,14.92252066,12.05
MK01,3.038507209,3.649635036,1.27,59.49,43.04,34.90762187,7.314,21.52,10.13,12.77777778,11.5,20.25,2.189781022,58.59493671,58.59493671,4.294766268,1.40176399,5.839416058,5.726355024,58.59493671,5.726355024,16.18518519,58.59493671,1.27,1.462075532,3.8
MK10,4.444444444,5.434782609,3.85,44.23,26.92,25.583569,10.923,14.42,7.69,18.65077964,11.57634598,23.08,7.065217391,56.85237557,40.74420249,3.228740409,5.381234015,5.97826087,3.766863811,36.95404412,2.690617008,18.32921447,24.63602941,3.85,2.73036989,7.69
MK14,8.647649674,11.81619256,2.42,57.61,27.16,31.93501446,16.013,14.19,19.38,26.59224643,23.48406178,14.19,14.22319475,60.07235152,52.99486183,5.03131016,1.750020925,13.78555799,5.03131016,50.40553633,7.765717856,31.36964135,46.60785894,3.29,19.51912113,6.57
MMP13,2.409129923,33.1702544,1.57,65.56,64.86,46.80976431,37.413,4.2,9.09,38.47999132,21.85428515,25.7,13.40508806,66.02272727,46.98442761,0.390740497,8.987031423,30.91976517,2.246757856,65.49873737,3.125923973,37.83376246,65.67340067,12.76,37.89852457,4.02
MP2K1,2.076646091,0.416666667,0,28.1,32.23,0.823259982,0,8.33,5.83,4.715809328,4.16100823,23.14,1.25,49.39559892,4.11629991,0.831425703,7.39375,1.666666667,0.415712851,26.34431943,0,6.38021262,9.055859803,0,2.523780488,0
NOS1,0,0.854700855,1,3,1,0,0.427,7.07,8,3.310288066,3.972345679,20,2.991452991,78.42195122,76.43658537,2.136752137,0.854700855,0.427350427,2.136752137,1.985365854,0.854700855,2.979259259,0,24,0.93484225,2
NRAM,5.380397727,13.06306306,0,50,41.84,64.25510204,28.414,14.29,17.35,40.13605442,35.71428571,19.39,6.306306306,63.23517979,40.79689018,1.776299376,0.874692875,22.97297297,0.888149688,44.8765792,2.22037422,43.87755102,29.57774538,22.45,26.14653716,0
PA2GA,3.959220937,7.142857143,2.02,37.37,20.2,34.01295979,29.834,17.53,9.18,36.79373636,40.13862149,20.2,3.968253968,38.01448447,34.01295979,0,10.87037037,8.73015873,0,0,5.537735849,52.51469644,0,2.02,12.07417582,1.02
PARP1,12.56626566,28.20512821,0.98,36.22,18.5,47.54905821,34.756,12.4,16.14,51.30359079,46.50824876,14.17,10.79622132,59.53456461,53.24708584,8.087964667,5.122377622,30.49932524,1.347994111,35.5635518,7.144368789,58.85789673,31.04442643,19.09,12.70663379,13.78
PDE5A,5.324188051,9.806835067,2.76,27.14,13.82,29.0718234,7.598,1.76,14.32,23.94070521,1.841592708,10.55,2.971768202,61.15107681,53.63250179,0.593821065,1.183400552,7.578008915,6.086665921,38.59535176,0.890731598,31.21938115,25.81377423,8.79,15.62647653,11.81
PGH1,5.570613108,0.45045045,3.08,0,0,3.074405594,1.818,5.21,9.23,9.573338331,12.0624063,14.36,1.351351351,55.85170163,55.85170163,2.698677401,0,4.954954955,2.248897834,48.67808858,0.449779567,12.0624063,27.15724942,7.18,1.363411799,6.15
PGH2,15.7963808,1.133786848,5.06,0.92,0,2.524771089,2.954,11.08,17.24,11.59684039,30.40746339,18.62,8.390022676,53.93829145,47.28207676,4.518331677,1.355499503,9.070294785,3.162832174,52.33161894,1.129582919,12.23603632,51.18399571,14.94,0.454283408,25.98
PLK1,6.449442522,10.45751634,0,31.78,38.32,35.95914553,31.162,8.41,38.68,53.05868479,45.20976693,30.84,24.18300654,55.32176235,9.220293725,5.227242588,3.86442577,7.843137255,6.534053235,6.454205607,1.306810647,57.14012209,0.922029372,3.74,15.24490581,0
PNPH,9.046312811,30.56768559,19.42,65.05,63.11,58.79789416,27.436,10.68,35.29,64.543507,38.34267742,25.24,25.76419214,68.4368932,66.5090934,6.109291606,8.727559437,30.56768559,21.81889859,43.37549569,3.054645803,68.05825243,28.91699713,10.68,22.11698136,11.76
PPARA,5.472195645,8.971962617,1.34,50.13,22.25,51.66945595,16.831,3.77,4.83,21.5567278,21.5567278,17.43,2.242990654,24.09456495,21.68510846,3.346261682,1.115420561,6.91588785,0.185903427,7.496086874,5.577102804,31.7961735,1.070869553,12.6,4.123544646,6.7
PPARD,2.442410531,18.1184669,3.33,48.75,33.75,40.3811,19.638,1.25,4.58,27.05012431,19.6601419,12.08,5.574912892,8.326,3.7467,3.130577723,1.391367877,5.923344948,1.391367877,2.0815,9.739575138,27.88672609,0,10.42,1.744587879,1.25
PPARG,2.191755613,8.864265928,1.24,50,6.61,48.52172625,21.946,1.66,5.99,22.98206639,25.67365975,17.36,1.662049861,4.129508617,3.097131463,2.351995325,1.383580765,5.12465374,2.075371148,3.510082324,4.427458449,30.64275519,1.032377154,4.96,6.668615177,6.2
PRGR,11.11850149,16.61721068,3.41,22.87,9.9,24.22388699,17.33,3.64,18.43,26.29160728,32.26697257,2.39,11.8694362,33.43578767,35.14169521,2.075735096,1.779201511,5.934718101,3.854936606,19.7885274,6.523738872,20.76439439,15.69434932,4.44,24.4939407,12.97
PTN1,24.15372386,11.65919283,0.77,24.62,18.46,29.91486486,19.912,14.84,25.38,34.22353604,29.33445946,41.54,7.174887892,55.99449064,24.54553015,1.339804107,4.466013689,15.24663677,6.252419165,29.91486486,12.05823696,42.97240991,16.10800416,10.77,16.21668161,26.15
PUR2,0.979379657,13.43283582,6,56,12,55,10.772,56,52,53.69309524,54.34,56,13.93034826,55,41.25,0,0,11.94029851,0.49528221,9.821428571,0,54.34,7.857142857,56,12.26865672,4
PYGM,8.507142857,1.754385965,1.3,0,1.3,1.274944568,0.88,9.09,3.9,3.874675325,1.291558442,6.49,0,30.59866962,35.69844789,1.718045113,1.718045113,3.50877193,3.436090226,1.274944568,3.436090226,3.013636364,6.374722838,0,0,2.6
PYRD,18.87123013,0.763358779,0,0.9,0,4.477886978,19.312,29.09,22.52,16.12823984,36.51676944,31.53,22.13740458,56.42137592,59.10810811,4.572026594,0,18.32061069,4.572026594,29.55405405,3.04801773,14.60670778,14.32923833,11.71,0,20.72
RENI,2.437464021,9.399477807,0,17.31,3.85,23.90980498,1.567,11.65,8.74,30.06274828,27.53114843,24.04,2.349869452,21.99702059,11.47670639,0.515348246,0.515348246,7.832898172,2.576741232,15.30227519,5.411156587,29.11339834,23.90980498,36.54,3.656353947,4.85
ROCK1,3.478125,26.3681592,4,24,25,26,29.541,23,19,40.50146972,29.12089145,12,8.457711443,59,26,0.985993111,3.884215287,12.43781095,7.394948335,24,2.957979334,51.88204799,11,4,5.5859375,7
RXRA,10.02898551,23.07692308,2.29,54.2,24.43,50.24685518,11.925,7.69,35.88,40.76740099,36.95462248,30.53,18.18181818,51.76948715,0.761315988,4.815088757,0,13.28671329,4.12802582,18.2715837,7.568047337,39.30094772,0.761315988,27.48,4.90470314,29.77
SAHH,8.904508671,16.84210526,0,12.7,0,0,16.978,30.16,0,18.3968254,50.45986395,42.86,14.21052632,55.74603175,0,11.16268789,2.233421751,17.36842105,2.233421751,0,0,55.19047619,0,55.56,0,22.22
SRC,3.456371341,14.19828641,1.91,59.16,50.38,8.75861769,20.965,14.76,11.83,29.95674317,20.20636852,14.31,5.875152999,44.93551684,17.89804484,0.855762048,0.975219444,16.64626683,5.745830893,38.84256541,1.222517211,33.29239766,7.235379831,7.82,26.46022032,5.53
TGFR1,8.560657812,12.8113879,10.53,54.89,31.58,46.22539106,14.73,25.56,28.57,56.90756303,41.18310482,38.35,9.252669039,64.11909083,64.11909083,8.879610159,1.420737625,27.04626335,7.458872533,56.66338259,0.355184406,57.40675217,50.69881601,18.05,16.88554833,10.53
THB,22.09249084,13.66459627,0,58.25,0,47.27861523,13.734,15.53,34.95,28.72164948,31.79896907,31.07,11.18012422,73.33009709,65.6111395,4.898232203,2.449116101,30.43478261,18.98064978,58.85705161,7.959627329,44.10824742,40.52452734,16.5,18.68469127,26.21
THRB,4.883641761,24.73498233,2.17,54.66,34.27,39.20679156,24.27,33.11,35.14,39.14115428,35.97748955,32.75,8.00942285,58.05204496,35.09116151,3.873828545,4.460772264,23.20376914,0.352166231,33.14165253,3.286884826,51.86938678,20.36153816,27.55,18.79785731,1.52
TRY1,4.284288949,28.01608579,4.23,54.79,42.09,21.31952767,26.626,50.56,22.94,26.17186684,22.53056362,42.76,17.96246649,47.74685885,4.663646678,1.205599093,2.947020004,23.72654155,0.803732728,18.87666513,4.82239637,45.44042967,2.664940959,40.98,11.55752689,2.67
TRYB1,5.317633136,22.94117647,1.35,12.84,15.54,18.90679141,38.384,27.89,2.03,12.54709255,18.14847315,33.78,7.647058824,29.71067221,22.95824671,1.748868778,1.165309201,15.29411765,5.246606335,17.55630631,12.82503771,21.95741196,4.726697852,19.59,8.856760886,8.11
TYSY,11.15864662,9.539473684,3.67,48.62,0,31.88671719,4.66,18.35,30.28,8.81372549,30.08823529,45.87,7.565789474,62.86238532,62.86238532,2.953437732,1.93941886,11.51315789,3.276964418,23.68727563,9.188472943,20.97058824,50.10769844,23.85,2.985479323,22.94
UROK,10.59311106,30.69306931,2.47,53.7,48.77,43.4105855,20.994,47.53,12.35,41.30259641,51.78235968,43.21,23.10231023,41.57633541,9.782667156,0.32986632,0.653135314,31.35313531,0.32986632,0.611416697,1.97919792,59.7962963,0,12.96,11.24193326,8.02
VGFR2,8.817513369,10.1754386,4.65,37.9,36.19,24.16058949,19.843,31.68,22.74,22.20678744,19.22247608,20.54,14.03508772,60.03540419,40.51169551,2.619772404,2.431975099,12.45614035,3.667681366,52.9580598,1.047908962,22.2945613,42.46406638,4.65,18.60861937,17.36
