tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DrugCLIP,EquiScore,GenScore,Glide SP,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,TANKBind
KIF11,18.6,10,31,5.075,7.807692308,9.369230769,12.5,31,31,4.65,0,25,2.325,28.61538462,2.325,5.465384615,23.84615385,27.66041667
LCK,0,20,28.59230769,28.469,23.07692308,10.25641026,15,30.975,28.59230769,2.315384615,0,17.5,2.315384615,23.82692308,2.315384615,28.20512821,23.82692308,12.54166667
MDM2,0,2.5,31,9.053,19.37962963,11.07407407,5,31,31,4.991666667,0,2.5,0,26.23076923,2.495833333,28.60802469,9.538461538,13.56818182
MK2,7.864864865,2.702702703,30.975,17.204,19.29129129,7.891891892,2.702702703,30.975,30.975,5.243243243,5.243243243,5.405405405,2.621621622,26.20961538,5.243243243,19.29129129,26.20961538,14.28746929
MMP2,0,2.5,2.380769231,25.583,0,0,0,30.95,30.95,2.361538462,4.723076923,5,0,28.56923077,0,0,28.56923077,30.7
NA,18.81666667,27.5,30.95,30.925,30.925,26.16730769,22.5,30.95,30.95,0,16.67884615,25,0,30.95,14.29615385,30.925,30.95,23.0625
P38-ALPHA,2.346153846,20,26.23076923,20.35,28.22307692,14.11153846,17.5,31,31,0,2.35,22.5,4.7,31,4.7,28.22307692,31,22.9125
PARP-1,2.319230769,17.5,21.40961538,17.587,27.83076923,27.85384615,7.5,30.925,30.925,0,4.638461538,12.5,2.319230769,26.16730769,6.957692308,30.15,26.16730769,7.53125
PDE4B,2.365384615,2.5,9.538461538,18.353,9.680473373,9.680473373,2.5,31,31,0,4.738461538,7.5,2.369230769,31,0,13.71400394,31,0
PDE5,0,5.263157895,23.84615385,18.805,18.18488529,7.439271255,10.52631579,31,31,4.963562753,2.481781377,2.631578947,2.481781377,31,2.481781377,17.3582996,23.84615385,13.44298246
PDK1,2.441295547,15.78947368,7.153846154,17.211,31.55263158,26.29385965,23.68421053,28.61538462,28.61538462,0,0,0,4.882591093,23.84615385,7.32388664,31.55263158,16.69230769,23.80263158
PI3KG,0,17.94871795,21.46153846,25.154,20.4957265,7.685897436,7.692307692,31,31,0,7.159763314,15.38461538,7.159763314,31,2.386587771,27.32763533,31,0
PIM-1,0,20,19.06153846,17.979,18.98224852,16.60946746,2.5,28.59230769,26.20961538,0,2.325,17.5,2.325,26.20961538,2.325,17.40039448,21.44423077,7.55625
PIM-2,4.765285996,12.82051282,28.54615385,17.661,16.62327416,7.124260355,10.25641026,30.925,30.925,2.382642998,2.382642998,2.564102564,2.382642998,23.78846154,2.382642998,12.66535174,21.40961538,2.581196581
PNP,2.369230769,30,30.9,28.165,30.725,16.54423077,10,30.9,30.9,2.371153846,2.371153846,25,0,30.9,4.742307692,29.93717949,30.9,23.08125
PPARA,0,10.52631579,31,23.706,11.26780627,4.829059829,0,31,31,7.486842105,0,2.631578947,0,31,0,21.73076923,28.61538462,2.722488038
PPARG,0,7.5,28.61538462,20.6,2.360416667,2.360416667,0,31,21.46153846,4.75,0,2.5,0,31,2.375,5.507638889,26.23076923,0
PR,2.672727273,2.857142857,9.530769231,0,4.428571429,7.971428571,0,16.67884615,23.82692308,0,0,2.857142857,0,4.765384615,2.672727273,8.857142857,7.148076923,14.68571429
PRKCQ,5.263157895,23.68421053,11.91346154,23.45,18.32894737,15.71052632,21.05263158,16.67884615,9.530769231,7.894736842,10.52631579,13.15789474,5.263157895,23.82692308,0,12.21929825,19.06153846,2.631578947
PYGL-IN,2.584210526,15,31,28.233,26.85128205,30.8,10,26.23076923,31,0,0,10,0,14.30769231,4.738461538,30.8,11.92307692,0
PYGL-OUT,21.33566434,7.5,11.92307692,10.275,22.92115385,30.825,20,28.61538462,28.61538462,0,4.753846154,25,2.376923077,26.23076923,7.130769231,14.22692308,19.07692308,0
QPCT,0,0,16.69230769,5.167,23.84615385,0,0,28.61538462,31,0,0,7.5,0,16.69230769,0,30.20512821,19.07692308,0
ROCK-1,2.321153846,12.5,23.84615385,19.564,12.66535174,7.124260355,7.5,28.61538462,31,0,4.642307692,7.5,2.321153846,28.61538462,2.321153846,13.45693623,26.23076923,2.5125
RXR,5.178378378,24.32432432,30.975,16.526,23.13684211,24.78947368,18.91891892,30.975,26.20961538,7.775675676,2.591891892,10.81081081,0,30.975,7.775675676,24.78947368,30.975,14.38438438
SARS-HCOV,4.741617357,2.564102564,2.380670611,0,3.158448389,4.737672584,2.564102564,23.80670611,28.56804734,2.370808679,2.370808679,0,2.370808679,7.142011834,4.741617357,3.158448389,2.380670611,0
SIRT2,0,0,4.761538462,7.619,1.562820513,2.344230769,0,9.523076923,2.380769231,2.348076923,0,2.5,2.348076923,0,2.348076923,1.562820513,0,2.541666667
SRC,0,12.82051282,4.769230769,25.812,21.53254438,7.177514793,7.692307692,26.23076923,23.84615385,4.777120316,2.388560158,12.82051282,2.388560158,19.07692308,4.777120316,23.92504931,7.153846154,12.93803419
THROMBIN,9.765182186,18.42105263,26.23076923,21.158,29.29554656,21.97165992,7.894736842,28.61538462,31,4.902834008,2.451417004,15.78947368,2.451417004,28.61538462,2.451417004,28.48178138,28.61538462,23.86184211
TIE2,7.49375,7.5,9.538461538,14.175,17.00854701,10.20512821,7.5,28.61538462,23.84615385,7.49375,4.995833333,5,0,21.46153846,4.995833333,25.51282051,19.07692308,19.05909091
TK,12.16962525,10.25641026,23.80769231,15.413,0.790384615,30.825,15.38461538,30.95,28.56923077,14.6035503,2.433925049,5.128205128,7.301775148,0,0,27.66346154,0,0
TP,0,9.677419355,9.507692308,9.403,2.849431818,11.39772727,0,23.76923077,14.26153846,2.985337243,0,0,2.985337243,0,0,20.89583333,0,0
TPA,0,10.52631579,23.80769231,11.11,12.74122807,22.93421053,13.15789474,30.95,30.95,2.546052632,2.546052632,18.42105263,2.546052632,23.80769231,5.092105263,30.57894737,19.04615385,5.555023923
TS,2.346153846,2.5,28.54615385,12.646,6.225641026,9.338461538,5,30.925,30.925,0,0,2.5,0,30.925,0,10.11666667,28.54615385,0
UPA,9.966666667,20,9.530769231,27.114,25.72569444,27.38541667,12.5,30.975,30.975,0,2.491666667,22.5,0,14.29615385,0,29.875,9.530769231,16.29545455
VEGFR1,7.486842105,15.78947368,7.148076923,24.309,12.40131579,17.36184211,15.78947368,30.975,19.06153846,2.495614035,4.99122807,7.894736842,2.495614035,11.91346154,0,18.18859649,7.148076923,5.444976077
VEGFR2,0,12.82051282,11.92307692,5.333,18.88731444,4.927125506,10.25641026,31,26.23076923,0,0,12.82051282,0,28.61538462,4.812623274,25.45681511,26.23076923,0
