tid,$\Delta_{vina}\mathrm{RF}$,3D-GNN,DeepDTA,Denvis-G,Denvis-R,DrugCLIP,EquiScore,Flexx,GNINA,GenScore,Glide SP,Gold,Kdeep,LigUnity,LigUnity(seq),NNscore 2.0,OnionNet,PIGNet,Pafnucy,Pocket-DTA,RFscore v4,RTMScore,Sequece-DTA,Surflex,TANKBind,Vina
CDK2,0.670317831,0.631922281550216,0.66,0.96,0.9,0.7455173701338732,0.831229143,0.76,0.8,0.912746277186321,0.907737625560628,0.85,0.7496543080939,0.9679963473406347,0.9134744541163,0.628930512,0.589582364,0.764613040071442,0.776945059,0.9481199352387217,0.686469078,0.903865637871803,0.8697448321175806,0.64,0.759842615659625,0.72
COMT,0.741627722,0.837518824292713,0.48,0.98,0.58,0.9938976864437388,0.959330599,0.66,0.65,0.993703484411507,0.902451757485468,0.99,0.836948887209005,0.9993726593540293,0.9894682812767329,0.891037851,0.602372903,0.875366813292778,0.521047494,0.992002990957423,0.410357676,0.993096540205809,0.9882072632105893,0.75,0.834143059574417,0.63
CP2C9,0.558989082,0.516716717017922,0.57,0.56,0.55,0.5410333870390317,0.616225642,0.7,0.62,0.633598966766905,0.605972704140643,0.82,0.607247421253445,0.6544788310060857,0.6443452380952434,0.589269165,0.528319948,0.589425258476463,0.573292671,0.47701508234874085,0.573211051,0.620831212892281,0.36218559792338795,0.59,0.670537625909817,0.62
CP3A4,0.5445389,0.487106550039568,0.61,0.41,0.43,0.5121042449866744,0.585541393,0.6,0.66,0.661057678499626,0.701690935722901,0.77,0.53895813255608,0.6137221662694488,0.6781094502557792,0.631983085,0.564925977,0.553692734409891,0.628597463,0.5037109978760351,0.618600592,0.655659249526107,0.4599368786334596,0.61,0.605290643525568,0.6
CSF1R,0.693009163,0.716748211122171,0.74,0.97,0.91,0.6028873792130008,0.764700572,0.84,0.78,0.848032289645646,0.786653333937494,0.87,0.795571538112507,0.9606620503260332,0.8768674301918762,0.734218275,0.680335182,0.769509554946659,0.677485377,0.9943430148164148,0.791343361,0.876114779556848,0.9761898619760675,0.61,0.844974790527079,0.69
CXCR4,0.601733823,0.286000542566834,0.52,0.78,0.77,0.7298825256975042,0.58181168,0.47,0.85,0.798410671854655,0.649088808839846,0.92,0.380764772615172,0.7462775330396534,0.8165124816446552,0.573073888,0.703341718,0.577247953043307,0.675081385,0.23896475770925113,0.664527227,0.845262160614857,0.2881718061673988,0.76,0.807558942487916,0.6
DEF,0.879355571,0.93116977414448,0.48,1.0,0.96,0.9946866738268101,0.988603814,0.7,0.93,0.993317161721473,0.964365335632343,0.91,0.932540229680564,0.9999432005948448,0.9969293897334219,0.770936558,0.669301574,0.954345205796276,0.554311181,0.9994595450539767,0.709132071,0.973138345819031,0.9975214805023135,0.93,0.951346326623198,0.76
DHI1,0.773006503,0.646791952542997,0.56,0.33,0.52,0.4695736834849831,0.771142977,0.49,0.72,0.588997655280723,0.547498994348652,0.75,0.589453012824395,0.8776134483794521,0.8611357056921949,0.72549087,0.539900658,0.653635055215603,0.682040528,0.7361256798757516,0.667702979,0.608090467738556,0.7626005714715712,0.74,0.604049096774537,0.77
DPP4,0.700233111,0.704597333031517,0.71,0.93,0.78,0.9721538730131245,0.839349418,0.86,0.75,0.924453209170214,0.87639622025626,0.75,0.729627541607616,0.9808636169229152,0.8727942779691275,0.646390668,0.561438163,0.742482331608102,0.626149119,0.8276853737415775,0.646634887,0.926158442990219,0.8100619650773714,0.71,0.803061311013111,0.62
DRD3,0.629995394,0.517734965890812,0.55,0.56,0.55,0.6340646850578405,0.735441323,0.67,0.71,0.53862754254243,0.779965205526355,0.73,0.529026107398641,0.9187862952190994,0.9558524663610036,0.660826404,0.560951081,0.62883209135185,0.557229085,0.9706125629197043,0.63056271,0.671202541642295,0.9567073932074618,0.77,0.628881447149944,0.75
DYR,0.638065649,0.675389062434484,0.61,0.96,0.94,0.976502064793711,0.79430364,0.67,0.9,0.850399312074785,0.80448311410729,0.92,0.669802297790264,0.9967715643862038,0.9963671916209887,0.652015281,0.501379555,0.750281091450375,0.700718894,0.9961436031930005,0.666845031,0.876333499797253,0.9939570695109627,0.87,0.891213930611871,0.77
EGFR,0.659212097,0.661457568248241,0.58,0.93,0.91,0.7860454644726611,0.790250505,0.83,0.77,0.871919054630573,0.83695845401248,0.84,0.816072396052663,0.9354108754259449,0.8575031522529719,0.666160156,0.618553874,0.783432777935597,0.717339197,0.917120488623944,0.685504555,0.898425930420494,0.8130941868177043,0.67,0.802744442772073,0.64
ESR1,0.819056521,0.783851104647565,0.56,0.97,0.79,0.9601466788984117,0.829460194,0.8,0.8,0.844598383838383,0.881598383838384,0.76,0.786990592131993,0.9546000095713919,0.9184696201131228,0.748216307,0.779899629,0.842349389019984,0.707530776,0.7139614620995519,0.714103834,0.84714505050505,0.6043688171114526,0.76,0.922203423368941,0.83
ESR2,0.79965046,0.800007597435979,0.55,0.93,0.75,0.9858369825910541,0.862699557,0.84,0.79,0.905738699675537,0.93094914202421,0.79,0.809868614400553,0.980206718640054,0.952492930874564,0.766941409,0.784749331,0.865892789714801,0.679303943,0.7390490466187527,0.761398332,0.908122494113112,0.67962751993661,0.76,0.942492580162593,0.8
FA10,0.835937095,0.855606315504536,0.71,0.96,0.88,0.9550050641587602,0.820300837,0.88,0.88,0.942909508508368,0.934798273403489,0.9,0.873555426349187,0.9854685585051195,0.929349379450714,0.813241431,0.701793486,0.91087828557811,0.750317078,0.9261511677498484,0.848859945,0.951415283700253,0.8798718557703092,0.78,0.883370900057076,0.83
FA7,0.867549206,0.903564752345645,0.67,0.99,0.99,0.9032167486578317,0.93402384,0.97,0.91,0.976377192982456,0.976140350877193,0.97,0.921059025520794,0.9953402632702215,0.9626055776445023,0.836947995,0.702732289,0.946375850058053,0.716453358,0.9505919087090406,0.835880183,0.991204191033138,0.8553473953770412,0.98,0.902619280415497,0.91
FABP4,0.751292598,0.678495276653171,0.53,0.95,0.9,0.9132527882479218,0.745269906,0.87,0.53,0.737660406818384,0.871832404832224,0.87,0.5594669365722,0.987693784200059,0.8896078264436584,0.729777328,0.682132254,0.792533738191633,0.653336707,0.9080207115933775,0.575091093,0.787124975962297,0.8862100725215378,0.76,0.609471656018659,0.78
FAK1,0.667635559,0.703706897706569,0.56,0.99,0.99,0.7918246401196501,0.943545038,0.88,0.84,0.926395103744319,0.871889627987188,0.95,0.79829416059372,0.9923256683492093,0.9648420265470345,0.727436602,0.550476905,0.761621208873647,0.707514769,0.9936810618807213,0.796423715,0.94722163336268,0.914746681622773,0.64,0.950232132808104,0.81
FGFR1,0.55006148,0.453439597315436,0.53,0.47,0.56,0.6697265161309949,0.512236929,0.59,0.94,0.500954214588505,0.503103308506865,0.7,0.471378117491093,0.963957636925907,0.8701371431312183,0.546865938,0.531387232,0.498327326207639,0.536312039,0.9895283497245067,0.518036913,0.50325108510243,0.9781765481026501,0.58,0.517010758941553,0.0
FKB1A,0.633497499,0.710740434245518,0.4,0.95,0.89,0.9781888785336937,0.751057777,0.58,0.78,0.823543938675517,0.823496106910234,0.84,0.596856873954927,0.9953028890959852,0.9612597079838423,0.657157249,0.654059824,0.722911731269477,0.546859052,0.9169680024852228,0.575293567,0.856051342200926,0.9146085740912844,0.8,0.738437438920948,0.77
FNTA,0.645035315,0.478750448695804,0.58,0.9,0.74,0.9304482997179802,0.794085579,0.76,0.78,0.888313180839886,0.766707051779656,0.78,0.636839160973951,0.9610047377372559,0.9357155047023769,0.604037401,0.611684515,0.665495777517635,0.522538736,0.8807235518987082,0.724571899,0.85627015292528,0.8501704614076259,0.69,0.764026219070001,0.65
FPPS,0.411974384,0.771641535048616,0.2,0.74,0.71,0.9992202988410926,0.99994284,0.82,0.98,0.983715520106347,0.576734660882218,1.0,0.961670709192201,0.9999973389038945,0.7990406748539725,0.964241554,0.624362549,0.7780149177013,0.237333893,0.8136141676756727,0.348487994,0.998325294387108,0.6294889364929396,0.52,0.993821985337627,0.29
GCR,0.661416078,0.708035432910502,0.64,0.69,0.8,0.8703847124808045,0.743415105,0.54,0.75,0.763854467510248,0.74967630348027,0.54,0.783900145088374,0.9064951771158791,0.8782923899955978,0.654574976,0.5374101,0.688866664713417,0.770754652,0.8067761412205051,0.654724567,0.709028960268459,0.7518808560674813,0.67,0.857161654431062,0.64
GLCM,0.734138996,0.860058857792553,0.48,0.72,0.68,0.8557076423620359,0.967463731,0.69,0.58,0.708161865569273,0.696673525377229,0.9,0.708565326469134,0.8953477035867198,0.740969845865865,0.716329095,0.542799925,0.793188452613203,0.387569492,0.7644360601718215,0.505184183,0.789246521653929,0.7530977937663874,0.82,0.827810507831885,0.49
GRIA2,0.581707701,0.344018319384139,0.67,0.67,0.72,0.7447091686363394,0.530237349,0.76,0.83,0.629393261855718,0.723278969560395,0.83,0.57552796548481,0.8223021490444781,0.6777186967830687,0.502217982,0.53953461,0.525693179972944,0.6113908,0.6758083637736025,0.551775869,0.617005715861809,0.692610635220503,0.75,0.70207450689639,0.75
GRIK1,0.598957793,0.671308512850038,0.6,0.9,0.84,0.9095555293384148,0.656467616,0.87,0.73,0.942262703030542,0.920020534036836,0.92,0.687308089046682,0.9796217476926533,0.9126652811935501,0.612199885,0.564014567,0.795029106494586,0.604727988,0.8313141121628407,0.480195699,0.981765410779457,0.8315727539756942,0.81,0.815271927155076,0.59
HDAC2,0.84067571,0.83416607514016,0.61,0.96,0.92,0.918661768564593,0.939834316,0.81,0.8,0.770818040809193,0.820519836588456,0.88,0.835005546889279,0.9947373392810138,0.9836751508790647,0.804404145,0.647731089,0.894158976822079,0.544135812,0.9236473366570829,0.652097617,0.732714350213367,0.9373634216741004,0.85,0.765972148400128,0.85
HDAC8,0.908609189,0.812022160068847,0.6,0.98,0.94,0.9758545937757862,0.976876936,0.76,0.83,0.955735698677137,0.920366456499691,0.87,0.810435671256454,0.9844481106311676,0.9547891598487485,0.799871127,0.637870267,0.95317900172117,0.57564673,0.909933051424763,0.654464286,0.927003619411012,0.9173131605470288,0.84,0.842376886766468,0.82
HIVINT,0.626281916,0.470284864449863,0.44,0.47,0.44,0.4508766917293293,0.630317549,0.67,0.5,0.677666210254069,0.797588620112581,0.78,0.580124119053724,0.6342210526316082,0.6801578947368615,0.57732867,0.579776464,0.706619233055611,0.479872557,0.6023097744360935,0.431337859,0.66995233023987,0.608100751879725,0.67,0.601497650235972,0.71
HIVPR,0.633930507,0.651831173881607,0.51,0.94,0.92,0.8275133696203492,0.816118951,0.55,0.85,0.842556089641495,0.700122360965501,0.64,0.648272556085491,0.9304124728286548,0.8794787392974859,0.715386783,0.724029052,0.794830551584722,0.538479809,0.9164085053665125,0.636288494,0.885839901777264,0.9392920802744816,0.82,0.890243135213342,0.72
HIVRT,0.617349004,0.530412315104511,0.45,0.84,0.58,0.8269934372179226,0.634742383,0.61,0.82,0.766963241302197,0.842096181137917,0.8,0.683189431885506,0.9795500702038943,0.9699371928594052,0.612964273,0.527088481,0.57945768886147,0.571575572,0.9603141297262481,0.519555614,0.765557777491076,0.9213956411093186,0.67,0.510566873392461,0.68
HMDH,0.603632533,0.932369048899754,0.57,0.87,0.85,0.9259747332468251,0.727778083,0.67,0.92,0.894396834508775,0.896703296703296,0.87,0.742191535416099,0.9932019121513047,0.9913422038148898,0.835828074,0.580695949,0.891957569501191,0.539544745,0.9510861745544029,0.447609306,0.885583529240245,0.9603262221564818,0.83,0.879038028476995,0.79
HS90A,0.53249145,0.672970348039796,0.57,0.99,0.89,0.8738024709874439,0.767883463,0.34,0.73,0.838608368962244,0.705058653178229,0.85,0.765007867272841,0.9999789084909729,0.9996930013686046,0.431428815,0.495305847,0.669360453377706,0.625358696,0.9986782654342976,0.519649318,0.853069467408922,0.9963371079322823,0.49,0.642944638852133,0.26
HXK4,0.612945306,0.5216765139086,0.54,0.84,0.78,0.5683603145235908,0.668958205,0.67,0.82,0.524854852787451,0.634143562205778,0.88,0.781561500806903,0.7240032377428212,0.7331799259944592,0.595572767,0.630708297,0.587487795794708,0.628104733,0.6897617946346162,0.612777761,0.563488502568217,0.5222224791859368,0.56,0.575840632235981,0.57
IGF1R,0.707907851,0.470092208404667,0.68,0.94,0.93,0.9286689915723085,0.809240457,0.89,0.85,0.708701779014404,0.827092981735798,0.9,0.655896057241139,0.9494398430688669,0.8237845103167687,0.616565809,0.665580318,0.697552321111534,0.788387557,0.9446556233653511,0.74897582,0.699780837740663,0.8685193257773531,0.7,0.896733787854765,0.83
INHA,0.769195587,0.423268143117159,0.38,0.86,0.62,0.705348837209311,0.88539389,0.69,0.68,0.419903422924847,0.546399723290402,0.96,0.522809449934647,0.8160667340748057,0.8094539939332586,0.67812718,0.436171175,0.794324053601749,0.634513291,0.7144994944388297,0.728771087,0.40925892015436,0.64107178968655,0.84,0.574875096197305,0.72
ITAL,0.515921188,0.553233473877697,0.47,0.89,0.65,0.6588763853367302,0.54774773,0.61,0.66,0.511591671008896,0.64261101237,0.8,0.487698737830088,0.7796658141517482,0.8997314578005906,0.553431352,0.472319339,0.543717205075973,0.544717094,0.8278797953963646,0.574459994,0.53138956104223,0.7728303495311362,0.5,0.693371900049687,0.6
JAK2,0.771424367,0.786261625451886,0.7,0.99,0.94,0.7177941106683723,0.92401203,0.83,0.91,0.965001320368991,0.951072169292074,0.94,0.864255919582256,0.9404538153244769,0.9253199270052002,0.736681841,0.699592144,0.870011226349994,0.854296396,0.9723436962983704,0.798893329,0.96703627108016,0.9726183611281882,0.73,0.828132870612158,0.78
KIF11,0.773362929,0.57283691968121,0.54,0.81,0.73,0.8618386609615247,0.707522545,0.69,0.81,0.854267034017584,0.894294260398442,0.89,0.700857164433658,0.7010709791089746,0.7251912912157246,0.756757909,0.601645466,0.784635192940506,0.7379136,0.35942612635287946,0.700221245,0.88833335898633,0.4438107223760395,0.7,0.876367588690361,0.85
KIT,0.655239525,0.584022698612862,0.67,0.96,0.96,0.3697563136498451,0.633451794,0.79,0.79,0.728796728855795,0.707368427332987,0.83,0.692062081676205,0.9838755635333462,0.8614878895128326,0.653107468,0.577351309,0.716497041420118,0.658382153,0.9829042327871573,0.755766634,0.76008321052621,0.9455581806352598,0.6,0.899717555771096,0.78
KITH,0.633161467,0.658256539438581,0.36,0.28,0.38,0.7514435210833927,0.840473305,0.82,0.73,0.848342805079907,0.932972190787154,0.87,0.724570326201333,0.9999938442597722,0.9992059095106186,0.745329921,0.456705781,0.703930306218977,0.789659131,0.8599569098184048,0.41411307,0.862153621628975,0.8020190827947024,0.83,0.223075491759702,0.74
KPCB,0.718315682,0.643690977358061,0.59,0.82,0.78,0.8484692096096257,0.839015172,0.8,0.71,0.85457654809452,0.880292018594906,0.9,0.642503722538549,0.9420105090143895,0.9294388663208668,0.638009716,0.634784835,0.784042800536244,0.585208289,0.8612001056011104,0.577490391,0.846799986281424,0.8657963090706363,0.84,0.66838410740275,0.77
LCK,0.749500578,0.679452088009981,0.64,0.91,0.94,0.580449526868707,0.850398401,0.84,0.76,0.889914502498877,0.896232141682186,0.8,0.787565554078037,0.9465087882138332,0.8371708765271421,0.724996106,0.634184807,0.839597017659369,0.777464021,0.9254583567988979,0.77863051,0.906114977910136,0.7439125628350615,0.72,0.790590890092135,0.8
LKHA4,0.820870864,0.665083156741575,0.52,0.99,0.95,0.9393394029218843,0.831217933,0.83,0.88,0.852547615824647,0.913254470798802,0.85,0.641249878394897,0.7305867888013667,0.6835759559106889,0.719135832,0.59413266,0.869777325195308,0.526397031,0.4688503317719883,0.695226682,0.911228260161134,0.46982168881162495,0.9,0.773433777847812,0.89
MAPK2,0.800672157,0.590162632387265,0.75,0.95,0.92,0.8505037515470159,0.821244065,0.81,0.9,0.972191026699697,0.942214698596201,0.91,0.619893291952834,0.9762256987417686,0.9467515599216288,0.565367459,0.615935643,0.660766912203735,0.649697788,0.9760935566212688,0.642193981,0.9643743462703,0.9476781662541515,0.68,0.810923437390579,0.89
MCR,0.647200976,0.817388492131372,0.61,0.92,0.79,0.8878591539881769,0.7055198,0.41,0.84,0.940800206061646,0.873057439684038,0.54,0.788070903181663,0.9384769949284996,0.9206581948516949,0.621391764,0.59546859,0.650027796784126,0.635167208,0.7660705483285857,0.812716494,0.887277839787069,0.7168249910185485,0.55,0.771387487170715,0.54
MET,0.854715709,0.797995664839807,0.65,0.92,0.94,0.7617578103234761,0.874276784,0.82,0.88,0.910572489766008,0.909087003342204,0.93,0.860864318805636,0.9604292302615232,0.9487298178841173,0.757967961,0.645418394,0.879135989345487,0.828772258,0.9486799921135854,0.813901336,0.928545815362239,0.8853466159193286,0.72,0.881630910128384,0.81
MK01,0.789356352,0.53113778514814,0.65,0.97,0.96,0.8353401029350425,0.83732519,0.87,0.76,0.800644468105325,0.852859378727316,0.94,0.721490898763433,0.9860119627207994,0.9509027681179633,0.733172669,0.654301542,0.807764941305512,0.808437414,0.9685130059813001,0.740526618,0.810361914514399,0.9618111002920505,0.74,0.744019334084489,0.86
MK10,0.711200774,0.567886650467712,0.66,0.95,0.89,0.7445386014622026,0.661583747,0.78,0.81,0.828961769181212,0.829622554954765,0.91,0.719553931234108,0.9714060003964129,0.9372820979232748,0.665407762,0.660699526,0.675249540255067,0.720734828,0.9397876074205668,0.740112994,0.835813285403803,0.8998058558086807,0.61,0.619888083981833,0.75
MK14,0.634483946,0.559212591180715,0.71,0.98,0.91,0.7213775951555667,0.69497509,0.85,0.75,0.769790099637272,0.713790590357504,0.82,0.6769177123282,0.9679590954024184,0.9572854072691386,0.680693932,0.606847605,0.659029348037765,0.68331138,0.9422879560829489,0.689350783,0.74407405938207,0.9060306958259622,0.55,0.85306025808778,0.74
MMP13,0.711567024,0.837336852819566,0.57,1.0,0.97,0.9788640297943244,0.935750731,0.63,0.75,0.917693205195884,0.744870485825557,0.76,0.828171220513422,0.9982806562404405,0.9902925563668243,0.678584731,0.763189075,0.872268612672926,0.65867969,0.9969122977685838,0.614755579,0.885697080439626,0.9959445147115146,0.83,0.98140189496242,0.66
MP2K1,0.641557367,0.444542552750487,0.55,0.81,0.73,0.5331050216730369,0.361011276,0.81,0.7,0.648794634765271,0.73545614255239,0.86,0.583590608547859,0.9037631861650428,0.7823901106425782,0.54712515,0.615157215,0.541380891680139,0.516516395,0.9259140159081123,0.501471625,0.669584570767278,0.8870090597664841,0.59,0.693094260595505,0.54
NOS1,0.564368499,0.431540510846311,0.47,0.41,0.6,0.2835186567164185,0.584199729,0.76,0.64,0.546412386706948,0.571993957703927,0.87,0.602179454991406,0.966538557213928,0.9598271144277972,0.530406739,0.599881762,0.539054067393259,0.561488355,0.8748407960199023,0.592402594,0.607738335011748,0.8353470149253139,0.72,0.528676723696819,0.59
NRAM,0.762506901,0.805939669058001,0.33,0.98,0.96,0.9923243051051664,0.938237462,0.82,0.94,0.985515481775766,0.929248948508484,0.93,0.733787861576416,0.9986469180348375,0.9825975881560876,0.839892754,0.679390108,0.842469409273483,0.445156966,0.9911522925027402,0.755852361,0.992621751223097,0.9854996362151889,0.92,0.956077620560881,0.54
PA2GA,0.619034163,0.755548784053729,0.53,0.91,0.84,0.878097479650904,0.806053415,0.72,0.81,0.851371052918625,0.828486028748613,0.82,0.763636111803651,0.8841580857114224,0.8238011179758449,0.532972597,0.71746832,0.772666063387413,0.639933085,0.7284593507894863,0.641449748,0.844496500203522,0.5803020496224343,0.72,0.88635130301797,0.62
PARP1,0.832587517,0.755796515988066,0.64,0.92,0.86,0.9606854994634572,0.920685404,0.84,0.87,0.964397669711266,0.969344204562823,0.8,0.811974757570735,0.9798687620349202,0.9537177099159317,0.760271585,0.765629534,0.888946788080552,0.671145922,0.8870055801041432,0.719203135,0.97197108371918,0.9090368978973659,0.79,0.859937353315876,0.86
PDE5A,0.666135548,0.540979609597363,0.65,0.89,0.8,0.8912110769969099,0.583809801,0.65,0.81,0.792031169841217,0.762069208108589,0.73,0.635031888989021,0.9437819660212139,0.9306652765481276,0.597656594,0.576780775,0.69084384692018,0.728617351,0.8753891684277129,0.598563573,0.812276494565063,0.8028717376429314,0.69,0.790070404908476,0.66
PGH1,0.652586422,0.507218561861731,0.54,0.21,0.39,0.6757350775691291,0.53796092,0.63,0.67,0.695051478436224,0.735860259649578,0.73,0.631199100672038,0.9604872649889782,0.9510516715593889,0.58798653,0.506155845,0.654160079983956,0.555502141,0.872930145067951,0.551878974,0.686044610255933,0.851719535250457,0.68,0.614453554088965,0.64
PGH2,0.734083557,0.561072186155829,0.65,0.45,0.57,0.7085947470747929,0.611304064,0.75,0.75,0.756501145908814,0.805056582347401,0.77,0.633700828969765,0.9590298071303971,0.9383318026217716,0.677627743,0.495126677,0.741326920714121,0.579971868,0.9217890838394374,0.511973112,0.765896070131924,0.9172801440858737,0.76,0.60512943295968,0.77
PLK1,0.710786058,0.710914887328789,0.6,0.93,0.94,0.8935343707774126,0.819319079,0.81,0.91,0.942222215948285,0.942821690631537,0.9,0.849304980208046,0.9507995265933514,0.8295488753843245,0.633159397,0.685848632,0.746269567871626,0.723178147,0.7863470851265499,0.733553298,0.937308782162946,0.6479278838421808,0.62,0.846861281464486,0.64
